                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.88313,                0.72525,                 1.4111,                0.99347,                0.91667,                0.97498,                0.76816,                0.68988,                0.56594,                 1.3581,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86267,                0.70846,                 1.4029,                0.96162,                0.94048,                0.97782,                0.79376,                 0.6737,                0.55553,                  1.326,               0.000614,               0.000614,               0.000614
                     72,                 0.8379,                0.72621,                 1.4105,                0.90819,                0.95238,                0.97626,                0.76941,                 0.6368,                0.52415,                 1.2938,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82619,                0.67453,                 1.3737,                0.96854,                0.88095,                0.97011,                0.77987,                0.68456,                0.60888,                 1.3812,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.8791,                0.71772,                 1.4062,                0.83744,                0.92857,                0.94781,                0.74768,                0.75445,                0.90735,                 1.4713,              0.0005546,              0.0005546,              0.0005546
                     75,                0.84368,                0.67397,                 1.3787,                0.96062,                0.87122,                0.97246,                0.78717,                0.62956,                0.54083,                 1.3187,              0.0005348,              0.0005348,              0.0005348
                     76,                0.88627,                0.73823,                 1.4247,                0.95161,                0.93649,                0.97727,                0.78981,                0.61485,                0.51721,                 1.2874,               0.000515,               0.000515,               0.000515
                     77,                0.81051,                0.67402,                  1.366,                0.97284,                0.92857,                0.97958,                 0.7887,                 0.6334,                0.53401,                 1.3015,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83926,                0.68096,                 1.3755,                0.99346,                0.94048,                0.97875,                 0.7853,                0.61074,                 0.5294,                  1.289,              0.0004754,              0.0004754,              0.0004754
                     79,                0.80742,                0.64693,                 1.3978,                0.94146,                 0.9573,                0.98046,                0.82163,                0.59875,                0.51385,                 1.2677,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83975,                0.67785,                 1.3639,                0.98755,                0.94048,                0.98472,                 0.8118,                0.64556,                0.49172,                 1.2654,              0.0004358,              0.0004358,              0.0004358
                     81,                0.79355,                0.65857,                 1.3563,                0.97291,                0.95238,                0.98351,                0.80691,                0.63313,                0.51073,                 1.2541,               0.000416,               0.000416,               0.000416
